,symbol,net_profit_cagr,north_net_inflow,ps,type,percent,has_follow,tick_size,pb_ttm,float_shares,current,amplitude,pcf,current_year_percent,float_market_capital,north_net_inflow_time,market_capital,dividend_yield,lot_size,roe_ttm,total_percent,percent5m,income_cagr,amount,chg,issue_date_ts,eps,main_net_inflows,volume,volume_ratio,pb,followers,turnover_rate,first_percent,name,pe_ttm,total_shares,limitup_days,codename
2744,SZ002035,-34.555453315296184,-14802438.338565076,0.9886,11,-0.87,False,0.01,1.6911,754904844,6.86,2.6,30.955,23.83,5178647230.0,1681315200000.0,5814903819.0,1.458,100,6.232902178786693,1308.62,-0.15,1.4538319277058953,78505276.5,-0.06,1093968000000,0.25,-3086268.0,11470750.0,0.79,1.69,62062.0,1.52,6.75,华帝股份,27.642,847653618,0,SZ002035 华帝股份
2745,SZ002036,-18.40620260526379,-35269224.43856118,1.2061,11,1.43,False,0.01,2.9975,1050547146,12.74,3.18,24.8197,2.99,13383970640.0,1681315200000.0,13677627882.0,0.086,100,3.2085792352600158,1126.65,0.08,24.43302990637728,239659779.65,0.18,1094140800000,0.12,28218733.0,18906065.0,0.65,3.361,103314.0,1.8,14.33,联创电子,106.628,1073597165,0,SZ002036 联创电子
2746,SZ002037,,-1307749.8618013395,0.7521,11,-2.99,False,0.01,1.3433,483883566,9.73,5.28,,-15.61,4708187097.0,1681315200000.0,4708187097.0,0.442,100,-2.3738734587110835,442.27,-0.31,8.30700350973894,196792584.99,-0.3,1094572800000,-0.17,-25771778.0,19854088.0,1.59,1.344,42442.0,4.1,19.07,保利联合,,483883566,0,SZ002037 保利联合
2747,SZ002038,-21.83318295930505,6947694.096171517,8.3761,11,0.0,False,0.01,1.7348,851403144,9.2,1.3,20.7424,11.92,7832908925.0,1681315200000.0,9451620000.0,1.087,100,4.240288251854428,1576.08,0.0,-18.472351844093858,62097609.42,0.0,1094659200000,0.22,1595644.0,6726433.0,0.68,1.736,240144.0,0.79,10.08,双鹭药业,41.464,1027350000,0,SZ002038 双鹭药业
2748,SZ002039,12.592975666888284,-3248527.305985992,2.3692,11,0.07,False,0.01,1.6842,427558126,14.48,1.17,3.1816,-4.86,6191041664.0,1681315200000.0,6191041664.0,2.072,100,11.841701207032791,437.69,0.14,6.318211406166041,62958549.74,0.01,1109779200000,0.97,1423367.0,4348028.0,1.15,1.684,34519.0,1.02,54.77,黔源电力,14.945,427558126,0,SZ002039 黔源电力
2749,SZ002040,6.519581982781952,,4.1626,11,0.72,False,0.01,1.1223,483966800,6.95,1.59,13.7035,-4.92,3363569260.0,,3413692660.0,0.763,100,5.254726193213273,61.02,0.0,3.952161554647571,29081857.92,0.05,1111680000000,0.32,-484618.0,4181449.0,1.1,1.116,24659.0,0.86,74.12,南京港,22.015,491178800,0,SZ002040 南京港
2750,SZ002041,75.27838340056938,-4540545.672778918,13.8493,11,0.0,False,0.01,5.0302,880000000,18.13,0.5,184.2613,-8.53,15954400000.0,1681315200000.0,15954400000.0,0.199,100,7.429879777327339,970.5,-0.06,13.729425065241108,41835102.78,0.0,1113753600000,0.26,-3293503.0,2307706.0,0.68,5.036,68909.0,0.26,43.17,登海种业,69.869,880000000,0,SZ002041 登海种业
2751,SZ002042,-1.4953497869754084,-2646175.252267212,0.3068,11,-0.95,False,0.01,0.7578,1700681355,3.12,1.27,,2.3,5306125828.0,1681315200000.0,5306125828.0,11.859,100,5.99278676529691,309.5,0.0,3.234822004300697,25528595.92,-0.03,1114531200000,0.25,-7830182.0,8163766.0,0.81,0.757,15958.0,0.48,48.95,华孚时尚,12.486,1700681355,0,SZ002042 华孚时尚
2752,SZ002043,10.307479787178965,12029732.00575185,1.0638,11,0.0,False,0.01,3.4873,693353918,11.32,1.41,8.5034,4.24,7848766352.0,1681315200000.0,9557056696.0,3.799,100,28.03033882005797,1466.35,-0.09,23.69337106998475,122948739.25,0.0,1115654400000,0.68,-12700246.0,10834878.0,0.47,3.379,98205.0,1.56,20.28,兔宝宝,16.551,844262959,0,SZ002043 兔宝宝
2753,SZ002044,,-4859948.091352659,3.0227,11,-2.65,False,0.01,3.6039,3871241182,6.99,4.74,17.1893,14.03,27059975862.0,1681315200000.0,27360634922.0,0.0,100,-1.090736672413591,1256.75,0.29,1.874884887721984,356130356.05,-0.19,1116345600000,-0.02,-39020532.0,50668929.0,1.42,3.603,123265.0,1.31,48.17,美年健康,,3914253923,0,SZ002044 美年健康
