,symbol,name,codename
301,SH600382,ST广珠,SH600382 ST广珠
302,SH600383,金地集团,SH600383 金地集团
303,SH600386,北巴传媒,SH600386 北巴传媒
304,SH600387,海越能源,SH600387 海越能源
305,SH600388,ST龙净,SH600388 ST龙净
306,SH600389,江山股份,SH600389 江山股份
307,SH600390,五矿资本,SH600390 五矿资本
308,SH600391,航发科技,SH600391 航发科技
309,SH600392,盛和资源,SH600392 盛和资源
310,SH600393,粤泰股份,SH600393 粤泰股份
311,SH600395,盘江股份,SH600395 盘江股份
312,SH600396,金山股份,SH600396 金山股份
313,SH600397,安源煤业,SH600397 安源煤业
314,SH600398,海澜之家,SH600398 海澜之家
315,SH600399,抚顺特钢,SH600399 抚顺特钢
316,SH600400,红豆股份,SH600400 红豆股份
317,SH600403,大有能源,SH600403 大有能源
318,SH600405,动力源,SH600405 动力源
319,SH600406,国电南瑞,SH600406 国电南瑞
320,SH600408,安泰集团,SH600408 安泰集团
321,SH600409,三友化工,SH600409 三友化工
322,SH600410,华胜天成,SH600410 华胜天成
323,SH600415,小商品城,SH600415 小商品城
324,SH600416,湘电股份,SH600416 湘电股份
325,SH600418,江淮汽车,SH600418 江淮汽车
326,SH600419,天润乳业,SH600419 天润乳业
327,SH600420,国药现代,SH600420 国药现代
328,SH600421,华嵘控股,SH600421 华嵘控股
329,SH600422,昆药集团,SH600422 昆药集团
330,SH600423,柳化股份,SH600423 柳化股份
331,SH600425,青松建化,SH600425 青松建化
332,SH600426,华鲁恒升,SH600426 华鲁恒升
333,SH600428,中远海特,SH600428 中远海特
334,SH600429,三元股份,SH600429 三元股份
335,SH600433,冠豪高新,SH600433 冠豪高新
336,SH600435,北方导航,SH600435 北方导航
337,SH600436,片仔癀,SH600436 片仔癀
338,SH600438,通威股份,SH600438 通威股份
339,SH600439,瑞贝卡,SH600439 瑞贝卡
340,SH600444,国机通用,SH600444 国机通用
341,SH600446,金证股份,SH600446 金证股份
342,SH600448,华纺股份,SH600448 华纺股份
343,SH600449,宁夏建材,SH600449 宁夏建材
344,SH600452,涪陵电力,SH600452 涪陵电力
345,SH600455,博通股份,SH600455 博通股份
346,SH600456,宝钛股份,SH600456 宝钛股份
347,SH600458,时代新材,SH600458 时代新材
348,SH600459,贵研铂业,SH600459 贵研铂业
349,SH600460,士兰微,SH600460 士兰微
350,SH600461,洪城环境,SH600461 洪城环境
351,SH600462,ST九有,SH600462 ST九有
352,SH600463,空港股份,SH600463 空港股份
353,SH600466,蓝光发展,SH600466 蓝光发展
354,SH600467,好当家,SH600467 好当家
355,SH600468,百利电气,SH600468 百利电气
356,SH600469,风神股份,SH600469 风神股份
357,SH600470,六国化工,SH600470 六国化工
358,SH600475,华光环能,SH600475 华光环能
359,SH600476,湘邮科技,SH600476 湘邮科技
360,SH600477,杭萧钢构,SH600477 杭萧钢构
361,SH600478,科力远,SH600478 科力远
362,SH600479,千金药业,SH600479 千金药业
363,SH600480,凌云股份,SH600480 凌云股份
364,SH600481,双良节能,SH600481 双良节能
365,SH600482,中国动力,SH600482 中国动力
366,SH600483,福能股份,SH600483 福能股份
367,SH600486,扬农化工,SH600486 扬农化工
368,SH600487,亨通光电,SH600487 亨通光电
369,SH600488,津药药业,SH600488 津药药业
370,SH600489,中金黄金,SH600489 中金黄金
371,SH600490,鹏欣资源,SH600490 鹏欣资源
372,SH600491,龙元建设,SH600491 龙元建设
373,SH600493,凤竹纺织,SH600493 凤竹纺织
374,SH600495,晋西车轴,SH600495 晋西车轴
375,SH600496,精工钢构,SH600496 精工钢构
376,SH600497,驰宏锌锗,SH600497 驰宏锌锗
377,SH600498,烽火通信,SH600498 烽火通信
378,SH600499,科达制造,SH600499 科达制造
379,SH600500,中化国际,SH600500 中化国际
380,SH600501,航天晨光,SH600501 航天晨光
381,SH600502,安徽建工,SH600502 安徽建工
382,SH600503,华丽家族,SH600503 华丽家族
383,SH600505,西昌电力,SH600505 西昌电力
384,SH600506,统一股份,SH600506 统一股份
385,SH600507,方大特钢,SH600507 方大特钢
386,SH600508,上海能源,SH600508 上海能源
387,SH600509,天富能源,SH600509 天富能源
388,SH600510,黑牡丹,SH600510 黑牡丹
389,SH600511,国药股份,SH600511 国药股份
390,SH600512,腾达建设,SH600512 腾达建设
391,SH600513,联环药业,SH600513 联环药业
392,SH600515,海南机场,SH600515 海南机场
393,SH600516,方大炭素,SH600516 方大炭素
394,SH600517,国网英大,SH600517 国网英大
395,SH600518,ST康美,SH600518 ST康美
396,SH600519,贵州茅台,SH600519 贵州茅台
397,SH600520,文一科技,SH600520 文一科技
398,SH600521,华海药业,SH600521 华海药业
399,SH600522,中天科技,SH600522 中天科技
400,SH600523,贵航股份,SH600523 贵航股份
401,SH600525,长园集团,SH600525 长园集团
402,SH600526,菲达环保,SH600526 菲达环保
403,SH600527,江南高纤,SH600527 江南高纤
404,SH600528,中铁工业,SH600528 中铁工业
405,SH600529,山东药玻,SH600529 山东药玻
406,SH600530,交大昂立,SH600530 交大昂立
407,SH600531,豫光金铅,SH600531 豫光金铅
408,SH600532,*ST未来,SH600532 *ST未来
409,SH600533,栖霞建设,SH600533 栖霞建设
410,SH600535,天士力,SH600535 天士力
411,SH600536,中国软件,SH600536 中国软件
412,SH600537,亿晶光电,SH600537 亿晶光电
413,SH600538,国发股份,SH600538 国发股份
414,SH600539,狮头股份,SH600539 狮头股份
415,SH600540,新赛股份,SH600540 新赛股份
416,SH600543,莫高股份,SH600543 莫高股份
417,SH600545,卓郎智能,SH600545 卓郎智能
418,SH600546,山煤国际,SH600546 山煤国际
419,SH600547,山东黄金,SH600547 山东黄金
